                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.27625,                 0.1445,                 0.2451,                0.80723,                0.99067,                      1,                  0.995,                0.99216,                0.99067,                      1,                  0.995,                0.97631,                0.16946,                0.12854,                0.19555,                0.77921,               0.009109,               0.009109,               0.009109
                     47,                0.27769,                0.15169,                0.23464,                0.81158,                0.99797,                      1,                  0.995,                0.99145,                0.99797,                      1,                  0.995,                0.98134,                  0.178,                0.13949,                0.16138,                0.78584,              0.0090892,              0.0090892,              0.0090892
                     48,                0.27379,                0.14112,                0.23629,                0.80499,                0.99944,                      1,                  0.995,                0.99136,                0.99944,                      1,                  0.995,                0.97579,                0.18993,                0.13547,                0.17295,                 0.7924,              0.0090694,              0.0090694,              0.0090694
                     49,                0.26679,                0.13821,                0.23422,                0.81193,                 0.9997,                      1,                  0.995,                 0.9887,                 0.9997,                      1,                  0.995,                 0.9736,                0.18689,                0.15727,                0.16185,                0.79159,              0.0090496,              0.0090496,              0.0090496
                     50,                0.27976,                0.14633,                0.24372,                0.81501,                0.99958,                      1,                  0.995,                0.98832,                0.99958,                      1,                  0.995,                0.98276,                0.17199,                0.12498,                0.16292,                0.80115,              0.0090298,              0.0090298,              0.0090298
                     51,                0.27144,                0.13673,                 0.2311,                0.81037,                0.99902,                      1,                  0.995,                0.98966,                0.99902,                      1,                  0.995,                0.97641,                0.18864,                  0.137,                0.16377,                0.78401,                0.00901,                0.00901,                0.00901
                     52,                0.26298,                0.13493,                0.23199,                0.81015,                0.99957,                      1,                  0.995,                0.99073,                0.99957,                      1,                  0.995,                0.97944,                0.18674,                0.13764,                0.16976,                0.79139,              0.0089902,              0.0089902,              0.0089902
                     53,                0.26594,                0.14691,                0.22605,                0.81254,                0.99955,                      1,                  0.995,                0.98779,                0.99955,                      1,                  0.995,                0.97342,                0.19984,                0.13849,                0.16707,                0.79917,              0.0089704,              0.0089704,              0.0089704
                     54,                0.26195,                0.13345,                0.22431,                 0.8102,                0.99972,                      1,                  0.995,                0.99073,                0.99972,                      1,                  0.995,                0.97969,                0.17076,                0.12286,                 0.1642,                0.78608,              0.0089506,              0.0089506,              0.0089506
                     55,                0.25512,                0.14811,                0.22326,                0.81303,                0.99976,                      1,                  0.995,                0.99267,                0.99976,                      1,                  0.995,                0.97651,                0.18143,                0.13315,                0.15867,                0.78293,              0.0089308,              0.0089308,              0.0089308
                     56,                0.24699,                0.13676,                0.22374,                0.80356,                 0.9992,                      1,                  0.995,                0.98417,                 0.9992,                      1,                  0.995,                0.97742,                 0.1863,                0.13077,                0.17049,                 0.7936,               0.008911,               0.008911,               0.008911
                     57,                0.26187,                 0.1405,                0.23097,                0.80754,                0.99968,                      1,                  0.995,                0.98476,                0.99968,                      1,                  0.995,                0.97018,                0.20657,                0.14917,                0.16525,                0.79297,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.2505,                0.12986,                 0.2164,                0.80599,                0.99961,                      1,                  0.995,                0.99356,                0.99961,                      1,                  0.995,                 0.9821,                0.15469,                 0.1501,                0.15183,                0.77461,              0.0088714,              0.0088714,              0.0088714
                     59,                 0.2548,                0.12615,                0.22309,                0.81392,                0.99954,                      1,                  0.995,                0.99247,                0.99954,                      1,                  0.995,                0.98102,                0.16669,                0.12415,                0.15927,                0.78059,              0.0088516,              0.0088516,              0.0088516
                     60,                0.24449,                0.12637,                0.21541,                0.80379,                0.99993,                      1,                  0.995,                0.99371,                0.99993,                      1,                  0.995,                0.98309,                0.15191,                0.11415,                0.15201,                0.77629,              0.0088318,              0.0088318,              0.0088318
                     61,                0.25368,                0.14915,                0.21813,                0.81348,                0.99956,                      1,                  0.995,                0.99045,                0.99956,                      1,                  0.995,                0.98605,                0.16446,                0.12651,                0.15252,                0.77826,               0.008812,               0.008812,               0.008812
                     62,                0.25322,                0.12772,                0.21545,                0.80681,                 0.9995,                      1,                  0.995,                0.99303,                 0.9995,                      1,                  0.995,                0.98662,                0.16362,                0.12312,                0.15597,                0.78527,              0.0087922,              0.0087922,              0.0087922
                     63,                0.25015,                0.12435,                0.22109,                0.80674,                0.99949,                      1,                  0.995,                0.98556,                0.99949,                      1,                  0.995,                0.98111,                0.17087,                0.11841,                0.15731,                0.79184,              0.0087724,              0.0087724,              0.0087724
                     64,                0.24978,                0.12918,                0.21983,                0.80618,                0.99968,                      1,                  0.995,                0.99356,                0.99968,                      1,                  0.995,                0.98318,                0.15785,                0.12084,                0.15042,                 0.7775,              0.0087526,              0.0087526,              0.0087526
                     65,                  0.244,                0.12371,                0.21568,                0.80556,                0.99108,                      1,                  0.995,                0.98921,                0.99108,                      1,                  0.995,                0.97676,                0.15329,                0.13328,                0.14805,                0.78842,              0.0087328,              0.0087328,              0.0087328
                     66,                0.24449,                0.12729,                0.21106,                0.80373,                0.99955,                      1,                  0.995,                0.99269,                0.99955,                      1,                  0.995,                0.97943,                0.15406,                0.12078,                0.15374,                0.77901,               0.008713,               0.008713,               0.008713
                     67,                0.24131,                0.11777,                0.20945,                0.80628,                 0.9912,                      1,                  0.995,                0.99139,                 0.9912,                      1,                  0.995,                0.98136,                0.15098,                0.11857,                0.14192,                0.78434,              0.0086932,              0.0086932,              0.0086932
                     68,                0.23563,                0.12051,                0.21132,                0.80071,                      1,                0.99866,                  0.995,                0.98724,                      1,                0.99866,                  0.995,                0.98389,                0.15625,                0.12504,                0.15912,                0.78886,              0.0086734,              0.0086734,              0.0086734
                     69,                0.24246,                0.12025,                0.21493,                0.80346,                0.99951,                      1,                  0.995,                0.99088,                0.99951,                      1,                  0.995,                0.98568,                0.14639,                0.11831,                0.14428,                0.78836,              0.0086536,              0.0086536,              0.0086536
                     70,                0.23945,                0.12862,                0.20747,                0.80425,                0.99962,                      1,                  0.995,                0.98963,                0.99962,                      1,                  0.995,                0.97924,                0.16866,                0.11587,                0.15049,                0.79232,              0.0086338,              0.0086338,              0.0086338
                     71,                0.23742,                0.12456,                0.20916,                0.80918,                0.99948,                      1,                  0.995,                0.99051,                0.99948,                      1,                  0.995,                0.97858,                0.16539,                0.12153,                 0.1424,                0.78894,               0.008614,               0.008614,               0.008614
                     72,                0.23766,                0.12851,                0.20274,                0.80455,                0.99941,                      1,                  0.995,                0.99058,                0.99941,                      1,                  0.995,                0.98216,                0.15965,                0.13553,                0.14758,                0.78767,              0.0085942,              0.0085942,              0.0085942
                     73,                0.22965,                0.13757,                0.20469,                0.80484,                 0.9909,                      1,                  0.995,                0.99303,                 0.9909,                      1,                  0.995,                0.98118,                0.14859,                0.13268,                 0.1433,                0.78681,              0.0085744,              0.0085744,              0.0085744
                     74,                0.23693,                0.12733,                0.20494,                0.80162,                 0.9996,                      1,                  0.995,                0.99149,                 0.9996,                      1,                  0.995,                0.97634,                0.15947,                0.13795,                0.14176,                0.78603,              0.0085546,              0.0085546,              0.0085546
                     75,                0.22815,                0.12831,                0.19934,                0.79715,                0.99977,                      1,                  0.995,                0.99165,                0.99977,                      1,                  0.995,                0.98168,                0.15291,                0.11956,                0.14803,                0.78537,              0.0085348,              0.0085348,              0.0085348
                     76,                0.23353,                0.12613,                0.19839,                0.81057,                0.99955,                      1,                  0.995,                0.99265,                0.99955,                      1,                  0.995,                0.98473,                 0.1466,                0.11781,                0.13954,                0.78307,               0.008515,               0.008515,               0.008515
                     77,                0.22678,                0.13136,                0.20028,                0.80079,                0.99944,                      1,                  0.995,                0.98967,                0.99944,                      1,                  0.995,                0.98301,                0.14904,                0.13022,                0.14364,                0.78955,              0.0084952,              0.0084952,              0.0084952
                     78,                0.23022,                0.12757,                0.20043,                0.80349,                0.99925,                      1,                  0.995,                0.99378,                0.99925,                      1,                  0.995,                0.98428,                 0.1396,                0.12428,                0.14072,                0.77435,              0.0084754,              0.0084754,              0.0084754
                     79,                0.22848,                0.12618,                0.20494,                0.80237,                0.99955,                      1,                  0.995,                0.99216,                0.99955,                      1,                  0.995,                0.98784,                0.14814,                0.11926,                0.14954,                0.77771,              0.0084556,              0.0084556,              0.0084556
                     80,                 0.2307,                0.12184,                0.21316,                0.79946,                0.99957,                      1,                  0.995,                0.98361,                0.99957,                      1,                  0.995,                0.96794,                0.15697,                0.12911,                0.15372,                0.79191,              0.0084358,              0.0084358,              0.0084358
                     81,                0.23401,                0.12303,                0.20107,                0.80931,                0.99953,                      1,                  0.995,                0.99408,                0.99953,                      1,                  0.995,                0.98155,                0.14507,                0.12638,                0.13452,                0.77338,               0.008416,               0.008416,               0.008416
                     82,                0.22948,                0.12175,                0.20035,                0.80022,                0.99952,                      1,                  0.995,                0.99326,                0.99952,                      1,                  0.995,                 0.9832,                0.13997,                0.12098,                0.14595,                0.77548,              0.0083962,              0.0083962,              0.0083962
                     83,                0.22802,                 0.1253,                0.19928,                0.80957,                0.99951,                      1,                  0.995,                  0.988,                0.99951,                      1,                  0.995,                0.97987,                0.14718,                0.11831,                 0.1407,                0.77912,              0.0083764,              0.0083764,              0.0083764
                     84,                0.22515,                0.12549,                0.19915,                0.79505,                0.99951,                      1,                  0.995,                0.99221,                0.99951,                      1,                  0.995,                0.98184,                0.15015,                  0.118,                0.14854,                0.77821,              0.0083566,              0.0083566,              0.0083566
                     85,                0.22271,                 0.1149,                0.19752,                 0.8036,                0.99965,                      1,                  0.995,                0.99484,                0.99965,                      1,                  0.995,                0.97818,                0.13884,                0.11296,                0.12739,                0.77596,              0.0083368,              0.0083368,              0.0083368
                     86,                0.22308,                0.11299,                0.19628,                0.80278,                0.99961,                      1,                  0.995,                0.98922,                0.99961,                      1,                  0.995,                0.97974,                0.15113,                0.11915,                0.13611,                0.79124,               0.008317,               0.008317,               0.008317
                     87,                0.22263,                0.11867,                0.19325,                0.80095,                0.99954,                      1,                  0.995,                0.99083,                0.99954,                      1,                  0.995,                 0.9835,                0.14884,                0.11544,                0.13583,                0.78877,              0.0082972,              0.0082972,              0.0082972
                     88,                0.21178,                0.11693,                0.18779,                0.79821,                0.99932,                      1,                  0.995,                0.99097,                0.99932,                      1,                  0.995,                0.98165,                0.13712,                0.11786,                0.14124,                0.78157,              0.0082774,              0.0082774,              0.0082774
                     89,                0.22162,                0.12176,                0.19363,                0.80667,                0.99951,                      1,                  0.995,                0.99327,                0.99951,                      1,                  0.995,                0.98579,                0.14269,                0.13987,                0.13682,                0.78092,              0.0082576,              0.0082576,              0.0082576
                     90,                0.22083,                0.12021,                0.19284,                0.79826,                 0.9995,                      1,                  0.995,                0.98854,                 0.9995,                      1,                  0.995,                0.98161,                0.15792,                0.12398,                0.14935,                0.78584,              0.0082378,              0.0082378,              0.0082378
                     91,                0.22261,                0.11917,                0.19366,                0.80298,                0.99945,                      1,                  0.995,                 0.9913,                0.99945,                      1,                  0.995,                0.98223,                0.14306,                0.10733,                0.13735,                0.78182,               0.008218,               0.008218,               0.008218
                     92,                0.22341,                0.12028,                0.19998,                0.80671,                0.99964,                      1,                  0.995,                0.99116,                0.99964,                      1,                  0.995,                0.98343,                0.13616,                0.11438,                0.13202,                0.77595,              0.0081982,              0.0081982,              0.0081982
                     93,                0.21652,                0.12125,                0.20105,                0.80915,                0.99956,                      1,                  0.995,                0.99135,                0.99956,                      1,                  0.995,                0.98217,                0.13666,                0.11634,                0.13733,                0.78029,              0.0081784,              0.0081784,              0.0081784
                     94,                0.21748,                 0.1178,                0.19041,                0.80057,                 0.9999,                      1,                  0.995,                  0.995,                 0.9999,                      1,                  0.995,                0.98677,                0.12455,                 0.1114,                0.13051,                0.76755,              0.0081586,              0.0081586,              0.0081586
                     95,                0.21361,                0.11447,                0.18933,                 0.7998,                      1,                0.99967,                  0.995,                0.99434,                      1,                0.99967,                  0.995,                0.98499,                 0.1173,                0.11214,                0.12298,                0.77211,              0.0081388,              0.0081388,              0.0081388
                     96,                0.21335,                0.11876,                0.18912,                0.80235,                0.99959,                      1,                  0.995,                0.99216,                0.99959,                      1,                  0.995,                0.98577,                0.13438,                0.11704,                0.12996,                0.78333,               0.008119,               0.008119,               0.008119
                     97,                0.21648,                0.11645,                0.18783,                0.79424,                0.99956,                      1,                  0.995,                0.99227,                0.99956,                      1,                  0.995,                0.97595,                0.14466,                0.12153,                0.12979,                0.78694,              0.0080992,              0.0080992,              0.0080992
                     98,                0.21818,                0.12212,                 0.1871,                0.80293,                0.99953,                      1,                  0.995,                0.98975,                0.99953,                      1,                  0.995,                 0.9821,                0.13755,                0.12115,                 0.1309,                0.77532,              0.0080794,              0.0080794,              0.0080794
                     99,                0.21065,                0.11717,                0.18377,                0.80411,                0.99955,                      1,                  0.995,                0.99315,                0.99955,                      1,                  0.995,                 0.9806,                0.12412,                0.12035,                0.11929,                0.77474,              0.0080596,              0.0080596,              0.0080596
                    100,                0.20884,                0.11352,                0.17439,                0.79945,                0.99952,                      1,                  0.995,                0.99248,                0.99952,                      1,                  0.995,                0.98022,                0.12229,                0.11995,                0.12357,                0.76936,              0.0080398,              0.0080398,              0.0080398
                    101,                 0.2107,                0.12134,                0.18098,                0.80046,                0.99958,                      1,                  0.995,                0.98892,                0.99958,                      1,                  0.995,                0.98125,                0.13365,                0.13214,                0.12509,                0.77621,                0.00802,                0.00802,                0.00802
                    102,                0.20713,                0.11896,                0.18261,                0.80031,                0.99957,                      1,                  0.995,                0.98926,                0.99957,                      1,                  0.995,                0.97972,                0.13832,                0.11769,                0.12655,                0.78024,              0.0080002,              0.0080002,              0.0080002
                    103,                0.20472,                0.11564,                0.17569,                  0.794,                0.99967,                      1,                  0.995,                  0.992,                0.99967,                      1,                  0.995,                0.98227,                0.14612,                0.12817,                0.13523,                0.78376,              0.0079804,              0.0079804,              0.0079804
                    104,                0.20777,                0.11723,                 0.1866,                0.79534,                0.99962,                      1,                  0.995,                0.99069,                0.99962,                      1,                  0.995,                0.98729,                0.14572,                0.11862,                0.12873,                0.78423,              0.0079606,              0.0079606,              0.0079606
                    105,                0.20158,                0.11663,                0.17799,                0.80074,                0.99964,                      1,                  0.995,                 0.9914,                0.99964,                      1,                  0.995,                0.98065,                0.13651,                0.12953,                0.12758,                0.78303,              0.0079408,              0.0079408,              0.0079408
                    106,                0.21119,                0.11444,                0.18328,                0.79235,                0.99963,                      1,                  0.995,                0.99339,                0.99963,                      1,                  0.995,                0.98358,                0.13264,                0.12044,                0.12962,                0.78304,               0.007921,               0.007921,               0.007921
                    107,                 0.2156,                0.11261,                0.18622,                0.80084,                0.99958,                      1,                  0.995,                0.99255,                0.99958,                      1,                  0.995,                0.98027,                0.13598,                0.12395,                 0.1346,                0.77666,              0.0079012,              0.0079012,              0.0079012
                    108,                 0.2111,                0.12123,                0.18431,                 0.8073,                0.99973,                      1,                  0.995,                0.99451,                0.99973,                      1,                  0.995,                0.97808,                0.13333,                0.11662,                0.13117,                0.77252,              0.0078814,              0.0078814,              0.0078814
                    109,                 0.2078,                0.11507,                0.18287,                  0.797,                0.99956,                      1,                  0.995,                0.98906,                0.99956,                      1,                  0.995,                0.97929,                0.13555,                0.11828,                 0.1306,                0.77861,              0.0078616,              0.0078616,              0.0078616
                    110,                0.20487,                0.11298,                0.17845,                0.80315,                0.99953,                      1,                  0.995,                0.99226,                0.99953,                      1,                  0.995,                0.98073,                0.13731,                0.10689,                0.14208,                0.77512,              0.0078418,              0.0078418,              0.0078418
                    111,                0.20101,                0.11654,                0.17751,                  0.804,                0.99958,                      1,                  0.995,                0.99149,                0.99958,                      1,                  0.995,                0.97941,                0.13541,                0.11654,                0.11991,                0.78215,               0.007822,               0.007822,               0.007822
                    112,                0.19595,                0.11225,                 0.1781,                0.80008,                0.99981,                      1,                  0.995,                0.98953,                0.99981,                      1,                  0.995,                0.98244,                0.12944,                0.11366,                 0.1349,                0.77762,              0.0078022,              0.0078022,              0.0078022
